question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Which island received Paul after his shipwreck?,Crete,Cyprus,Malta,Patmos,3,5
Who instructed the Ethiopian eunuch?,Peter,Paul,Philip,Silas,3,5
Which apostle was exiled to Patmos?,Peter,Paul,John,Thomas,3,4
Who was the first Christian martyr?,James,Stephen,Philip,Barnabas,2,4
Which apostle was a tentmaker by trade?,Peter,Paul,John,Matthew,2,4
Who restored Saul's sight after Damascus?,Ananias,Barnabas,Silas,Philip,1,6
Which woman opened her home to Paul in Philippi?,Phoebe,Lydia,Priscilla,Tabitha,2,4
Which book contains the fruit of the Spirit?,Romans,Ephesians,Galatians,Colossians,3,3
Which New Testament book is addressed to a runaway slave's master?,Titus,Philemon,Colossians,2 Timothy,2,6
Who taught Apollos more accurately?,Peter and John,Priscilla and Aquila,Paul and Barnabas,Silas and Timothy,2,6
Who was Timothy's mother?,Lois,Priscilla,Eunice,Lydia,3,6
Who was Timothy's grandmother?,Lois,Eunice,Lydia,Phoebe,1,5
Which New Testament book is addressed to Theophilus?,Luke,Acts,Both Luke and Acts,Romans,3,6
Who was the Roman centurion converted in Acts 10?,Cornelius,Julius,Claudius Lysias,Longinus,1,4
Which judge defeated Midian with 300 men?,Samson,Gideon,Ehud,Barak,2,4
Which judge made a rash vow concerning his daughter?,Gideon,Jephthah,Samson,Ehud,2,6
Who killed Sisera?,Jael,Deborah,Ruth,Abigail,1,6
Which judge was left-handed and killed Eglon?,Ehud,Othniel,Shamgar,Tola,1,7
Who was the high priest when Samuel was a child?,Abiathar,Eli,Zadok,Phinehas,2,5
Who was David's closest friend among Saul's family?,Jonathan,Abner,Ish-bosheth,Joab,1,3
Who was the father of King David?,Obed,Jesse,Boaz,Samuel,2,3
Which tribe supplied Israel's first king?,Judah,Benjamin,Levi,Dan,2,6
Which king was struck with leprosy for unlawful Temple actions?,Uzziah,Amaziah,Ahaz,Jehoram,1,7
Which king humbled himself after being driven from men?,Ahab,Nebuchadnezzar,Belshazzar,Jehoiakim,2,6
Which king issued the decree allowing Jews to return from exile?,Cyrus,Darius,Xerxes,Artaxerxes,1,5
Who was Jacob's oldest son?,Joseph,Judah,Reuben,Levi,3,5
Who was Jacob's only daughter named in Genesis?,Dinah,Miriam,Tamar,Leah,1,5
Who was Abraham's nephew?,Esau,Lot,Laban,Ishmael,2,3
Who was Abraham's first son?,Isaac,Jacob,Ishmael,Esau,3,4
What was the name of Isaac's wife?,Rachel,Leah,Sarah,Rebekah,4,3
Who was the father of Methuselah?,Enoch,Jared,Lamech,Kenan,1,7
Who was the king of Salem who blessed Abraham?,Melchizedek,Abimelech,Og,Sihon,1,5
Which book contains the Song of Moses after crossing the Red Sea?,Exodus,Numbers,Deuteronomy,Joshua,1,4
Which plague was the first plague in Egypt?,Frogs,Darkness,Water turned to blood,Hail,3,2
What river was Naaman told to wash in?,Jordan,Nile,Euphrates,Tigris,1,5
Which prophet rebuked Amaziah the priest of Bethel?,Hosea,Amos,Micah,Joel,2,7
Which prophet was instructed to buy a linen belt and hide it near the Euphrates?,Isaiah,Jeremiah,Ezekiel,Hosea,2,8
Which prophet spoke of the suffering servant?,Isaiah,Jeremiah,Hosea,Zephaniah,1,6
"Who said, 'Here am I; send me'?",Jeremiah,Ezekiel,Isaiah,Amos,3,4
Which prophet was taken captive in the second deportation to Babylon?,Daniel,Ezekiel,Jeremiah,Baruch,2,6
Who served as cupbearer to Artaxerxes?,Ezra,Nehemiah,Mordecai,Zerubbabel,2,6
Who led the first return from exile under Cyrus?,Ezra,Nehemiah,Zerubbabel,Mordecai,3,7
Who was the father of John Mark?,Barnabas,Not named in Scripture,Peter,Aristarchus,2,8
Who accompanied Barnabas to Cyprus after separating from Paul?,John Mark,Silas,Timothy,Titus,1,5
Who accompanied Paul on his second missionary journey after the dispute with Barnabas?,Barnabas,Silas,Mark,Luke,2,5
Who raised Eutychus after he fell from a window?,Peter,John,Paul,Barnabas,3,6
Which apostle brought Nathanael to Jesus?,Andrew,Philip,Peter,James,2,7
Which disciple cut off the servant's ear?,John,Thomas,Peter,Andrew,3,4
What was the servant's name whose ear Peter cut off?,Malchus,Crispus,Trophimus,Ananias,1,7
Which Gospel was written by a physician?,Matthew,Mark,Luke,John,3,4
What was Lydia's trade?,Tentmaker,Seller of purple goods,Physician,Fisherwoman,2,5
Which couple lied about the sale price of their land in Acts?,Aquila and Priscilla,Ananias and Sapphira,Zechariah and Elizabeth,Philemon and Apphia,2,5
Which man wanted to buy the power to give the Holy Spirit?,Simon Magus,Elymas,Bar-Jesus,Demetrius,1,7
Which silversmith stirred up opposition to Paul in Ephesus?,Alexander,Demetrius,Tertullus,Sosthenes,2,7
Which ruler heard Paul's defense with Bernice?,Felix,Festus,Agrippa II,Gallio,3,7
Which proconsul dismissed charges against Paul in Corinth?,Gallio,Felix,Festus,Pilate,1,7
Which book contains the Hall of Faith?,Romans,Hebrews,James,Galatians,2,5
Which epistle emphasizes that faith without works is dead?,Romans,James,Galatians,Ephesians,2,4
Which book says all Scripture is breathed out by God?,1 Timothy,2 Timothy,Titus,Hebrews,2,5
Which church was told it had abandoned its first love in Revelation?,Smyrna,Pergamum,Ephesus,Laodicea,3,6
Which church in Revelation was lukewarm?,Sardis,Laodicea,Philadelphia,Thyatira,2,5
Which Old Testament book never directly names God?,Ruth,Esther,Song of Songs,Ecclesiastes,2,6
Which short prophetic book is addressed against Edom?,Obadiah,Nahum,Habakkuk,Zephaniah,1,6
Which prophet warned Nineveh after Jonah's time?,Nahum,Joel,Micah,Haggai,1,7
Which book records Balaam's donkey speaking?,Exodus,Numbers,Deuteronomy,Joshua,2,5
Which priestly family line did John the Baptist's father belong to?,Abijah,Zadok,Aaron's firstborn only,Levi's sons of Gershon,1,8
Which high priest questioned Jesus before He was sent to Pilate?,Annas and Caiaphas,Zadok and Abiathar,Eli and Phinehas,Eleazar and Ithamar,1,6
Who buried Jesus in his own new tomb?,Nicodemus,Joseph of Arimathea,Simon of Cyrene,Cleopas,2,4
Who visited Jesus by night in John 3?,Nicodemus,Joseph of Arimathea,Gamaliel,Jairus,1,3
Who was the teacher of the law who advised caution toward the apostles in Acts 5?,Gamaliel,Tertullus,Sosthenes,Apollos,1,7
Which prophet's bones revived a dead man when the body touched them?,Elijah,Elisha,Samuel,Moses,2,7
Which king consulted the medium at Endor?,Saul,David,Ahab,Manasseh,1,5
Which queen visited Solomon?,Queen of Sheba,Queen Vashti,Queen Esther,Queen Candace,1,4
Which king's wife was Jezebel?,Ahab,Omri,Jehu,Ahaziah,1,4
Who killed Goliath?,Saul,Jonathan,David,Abner,3,2
Who was Moses' sister?,Miriam,Deborah,Huldah,Naomi,1,3
Which prophetess found in 2 Kings authenticated the Book of the Law?,Deborah,Huldah,Miriam,Anna,2,7
Which prophetess recognized the infant Jesus in the Temple?,Deborah,Huldah,Anna,Miriam,3,5
Which church father wrote Against Heresies?,Origen,Tertullian,Irenaeus,Athanasius,3,6
Which church father translated the Bible into Latin in the Vulgate tradition?,Augustine,Jerome,Chrysostom,Origen,2,5
Which church father wrote The City of God?,Jerome,Augustine,Athanasius,Cyprian,2,5
Which church father was known as the 'Golden-Mouthed' preacher?,John Chrysostom,Ambrose,Clement,Polycarp,1,7
Which church father wrote On the Incarnation?,Athanasius,Basil,Origen,Irenaeus,1,7
Which church father was bishop of Hippo?,Jerome,Augustine,Athanasius,Clement,2,6
Which church father was a disciple of the apostle John according to early tradition?,Polycarp,Origen,Tertullian,Cyprian,1,7
Which church father was martyred in Smyrna?,Polycarp,Clement,Origen,Tertullian,1,7
Which church father is associated with the Hexapla?,Jerome,Origen,Eusebius,Cyril,2,8
Which church historian wrote Ecclesiastical History?,Eusebius,Irenaeus,Justin Martyr,Clement,1,7
Which apologist wrote First Apology?,Justin Martyr,Tertullian,Cyprian,Athanasius,1,7
"Which Latin theologian asked, 'What has Athens to do with Jerusalem?'",Tertullian,Augustine,Jerome,Ambrose,1,8
Which bishop of Milan was influential in Augustine's conversion?,Ambrose,Athanasius,Basil,Cyril,1,7
Which church father authored Confessions?,Augustine,Jerome,Origen,Ambrose,1,6
Which church father opposed Pelagius?,Athanasius,Augustine,Jerome,Ignatius,2,7
Which church father defended Nicene orthodoxy against Arianism?,Athanasius,Origen,Clement,Cyprian,1,7
Which early Christian writing begins with a greeting from the church of Rome to the church of Corinth?,1 Clement,The Didache,Shepherd of Hermas,Epistle of Barnabas,1,8
Which early Christian manual begins by describing the Two Ways?,The Didache,1 Clement,Against Heresies,On the Incarnation,1,8
Which church father wrote letters on the way to martyrdom in Rome around the early second century?,Ignatius of Antioch,Athanasius,Jerome,Augustine,1,8
Which council condemned Arius?,Chalcedon,Nicaea I,Ephesus,Orange,2,6
Which council affirmed the full deity of the Holy Spirit in the Nicene-Constantinopolitan Creed?,Nicaea I,Constantinople I,Ephesus,Orange,2,8
Which council condemned Nestorius?,Nicaea,Ephesus,Chalcedon,Constantinople II,2,8
Which council produced the Definition concerning Christ's two natures?,Nicaea,Ephesus,Chalcedon,Orange,3,8
Which council addressed Pelagianism and grace in the West?,Orange,Trent,Nicaea II,Lateran IV,1,8
Which creed begins with 'I believe in God the Father Almighty'?,Apostles' Creed,Athanasian Creed,Chalcedonian Definition,Belgic Confession,1,4
"Which creed is especially associated with detailed Trinitarian language and the phrase 'not three Gods, but one God'?",Apostles' Creed,Athanasian Creed,Nicene Creed,Te Deum,2,8
Which Reformer posted the Ninety-Five Theses?,John Calvin,Martin Luther,Ulrich Zwingli,John Knox,2,4
Which Reformer is strongly associated with Geneva?,Martin Luther,John Calvin,Thomas Cranmer,Menno Simons,2,5
Which English reformer helped shape the Book of Common Prayer?,Thomas Cranmer,John Wycliffe,William Tyndale,Hugh Latimer,1,6
Who translated much of the Bible into English before being executed in 1536?,John Wycliffe,William Tyndale,Miles Coverdale,John Rogers,2,6
Which missionary is known for work in Burma and an English-Burmese dictionary?,William Carey,Adoniram Judson,Hudson Taylor,David Livingstone,2,7
Which missionary is often called the father of modern missions?,William Carey,Adoniram Judson,Hudson Taylor,Jim Elliot,1,6
Which missionary founded the China Inland Mission?,William Carey,Hudson Taylor,David Brainerd,Robert Morrison,2,7
Which evangelist preached the sermon 'Sinners in the Hands of an Angry God'?,George Whitefield,Jonathan Edwards,John Wesley,Charles Finney,2,6
Which hymn writer wrote 'And Can It Be'?,Isaac Watts,Charles Wesley,John Newton,Fanny Crosby,2,6
Which hymn writer wrote 'Amazing Grace'?,Isaac Watts,Charles Wesley,John Newton,Fanny Crosby,3,4
Which theologian wrote Institutes of the Christian Religion?,Martin Luther,John Calvin,John Owen,Jonathan Edwards,2,6
Which confession is associated with the English Reformed tradition and was completed in 1646?,Augsburg Confession,Westminster Confession of Faith,Belgic Confession,London Baptist Confession,2,7
Which confession is a Lutheran confession presented in 1530?,Augsburg Confession,Westminster Confession,Belgic Confession,Helvetic Confession,1,7
Which term refers to the list of books recognized as Scripture?,Canon,Lectionary,Apocryphon,Codex,1,4
Which term means 'God-breathed' in reference to Scripture?,Inspiration,Illumination,Sanctification,Glorification,1,4
Which doctrine teaches that Christ is fully God and fully man?,Hypostatic union,Atonement,Imputation,Regeneration,1,6
Which term describes God's creating all things out of nothing?,Creatio ex nihilo,Imago Dei,Sola fide,Extra nos,1,7
Which Latin phrase means 'Scripture alone'?,Sola fide,Sola Scriptura,Soli Deo gloria,Sola gratia,2,5
Which Latin phrase means 'by faith alone'?,Sola fide,Sola Scriptura,Sola gratia,Solus Christus,1,5
Which Greek term is commonly translated 'gospel'?,Ekklesia,Euangelion,Parousia,Koinonia,2,6
Which Greek term is commonly translated 'church' or 'assembly'?,Ekklesia,Euangelion,Parousia,Agape,1,6
Which Hebrew word is often rendered 'peace' and carries the idea of wholeness?,Shalom,Hesed,Ruach,Torah,1,5
Which Hebrew term is often used for covenant loyalty or steadfast love?,Shalom,Hesed,Ruach,Sheol,2,7
Which doctrine concerns God's final judgment and the last things?,Ecclesiology,Eschatology,Soteriology,Hamartiology,2,6
Which doctrine concerns salvation?,Soteriology,Ecclesiology,Angelology,Eschatology,1,6
