question,answer_1,answer_2,answer_3,answer_4,correct_answer,difficulty
Who came to Jesus by night in John 3?,Nicodemus,Joseph of Arimathea,Caiaphas,Gamaliel,1,4
Which woman did Jesus meet at Jacob's well in John 4?,A Samaritan woman,Mary Magdalene,Martha,Lydia,1,4
Who helped carry Jesus' cross?,Simon of Cyrene,Joseph of Arimathea,Nicodemus,Barabbas,1,4
Who buried Jesus in his own new tomb?,Nicodemus,Joseph of Arimathea,Simon Peter,John Mark,2,5
Who preached at Pentecost in Acts 2?,Peter,Paul,Stephen,James,1,4
Who was the first Christian martyr described in Acts?,James son of Zebedee,Stephen,Philip,Barnabas,2,4
Who accompanied Paul on his first missionary journey?,Barnabas,Timothy,Luke,Apollos,1,5
Which runaway slave is central to Paul's letter to Philemon?,Onesimus,Tychicus,Epaphroditus,Demas,1,6
Which New Testament book is addressed to 'the twelve tribes in the Dispersion'?,Hebrews,James,1 Peter,Jude,2,6
Which chapter is often called the 'faith chapter'?,Romans 8,1 Corinthians 13,Hebrews 11,James 2,3,5
Which book contains the fruit of the Spirit?,Romans,Galatians,Ephesians,Colossians,2,5
Which epistle contains the armor of God passage?,Galatians,Ephesians,Philippians,Colossians,2,5
Which church in Revelation was described as lukewarm?,Sardis,Philadelphia,Laodicea,Thyatira,3,5
Which church in Revelation was told it had abandoned its first love?,Ephesus,Smyrna,Pergamum,Laodicea,1,6
Which prophet challenged the prophets of Baal on Mount Carmel?,Elisha,Elijah,Isaiah,Jeremiah,2,4
Who was taken up to heaven in a whirlwind?,Enoch,Moses,Elijah,Elisha,3,5
Who killed Sisera by driving a tent peg into his temple?,Jael,Deborah,Rahab,Ruth,1,6
What is the theological term for the study of salvation?,Christology,Soteriology,Ecclesiology,Pneumatology,2,5
What is the theological term for the study of the church?,Ecclesiology,Eschatology,Anthropology,Bibliology,1,5
What is the theological term for the study of last things?,Hamartiology,Eschatology,Soteriology,Angelology,2,5
What doctrine teaches that Scripture alone is the final infallible authority for the church?,Sola fide,Sola Scriptura,Solus Christus,Soli Deo Gloria,2,5
Which Reformer wrote Institutes of the Christian Religion?,Martin Luther,John Calvin,John Wycliffe,William Tyndale,2,5
Which man is widely associated with beginning the Protestant Reformation in 1517?,John Calvin,Martin Luther,Ulrich Zwingli,John Knox,2,4
What document is Martin Luther traditionally said to have posted in 1517?,The Institutes,The Ninety-Five Theses,The Augsburg Confession,The Westminster Confession,2,4
Which council addressed Arianism in AD 325?,Council of Nicaea,Council of Trent,Council of Jerusalem,Council of Chalcedon,1,5
Which fourth-century bishop strongly opposed Arianism?,Athanasius,Pelagius,Nestorius,Tertullian,1,6
Which church father wrote Confessions and City of God?,Augustine,Irenaeus,Justin Martyr,Polycarp,1,5
Which church father is known for a sermon condemning slavery and slave markets?,Gregory of Nyssa,Origen,Cyprian,Jerome,1,8
Which term refers to books often included in Roman Catholic Old Testaments but not Protestant Old Testaments?,Septuagint,Deuterocanonical books,Targums,Pseudepigrapha,2,5
Which books record the Jewish revolt associated with the Maccabean family?,Maccabees,Esdras,Tobit,Baruch,1,6
Which book contains Paul's fullest sustained argument for justification by faith?,Romans,3 John,Revelation,Titus,1,6
Which Old Testament book contains the vision of the valley of dry bones?,Isaiah,Jeremiah,Ezekiel,Daniel,3,6
Which prophet saw the Lord high and lifted up in the temple?,Isaiah,Jeremiah,Ezekiel,Amos,1,6
Which prophet bought a field at Anathoth while Jerusalem was under threat?,Isaiah,Jeremiah,Ezekiel,Daniel,2,7
Which prophet lay on his side as a sign-act concerning Israel and Judah?,Isaiah,Jeremiah,Ezekiel,Hosea,3,7
Which king of Judah was granted fifteen additional years of life after prayer?,Hezekiah,Josiah,Uzziah,Asa,1,6
Which king of Judah was struck with leprosy after unlawfully entering the temple to burn incense?,Uzziah,Hezekiah,Josiah,Jehoshaphat,1,7
Which prophet rebuked King Asa for relying on Syria rather than the LORD?,Hanani,Nathan,Ahijah,Micaiah,1,8
Which prophet told Jeroboam that the kingdom would be torn from Solomon's house?,Ahijah,Elijah,Elisha,Micaiah,1,7
Which prophet foretold that Josiah would defile the altar at Bethel?,A man of God from Judah,Elijah,Elisha,Amos,1,8
Which book records the deaths of Nadab and Abihu?,Exodus,Leviticus,Numbers,Deuteronomy,2,6
Which two sons of Aaron died after offering unauthorized fire?,Nadab and Abihu,Eleazar and Ithamar,Hophni and Phinehas,Gershom and Eliezer,1,6
Which census book records Balaam's oracle about a star from Jacob?,Exodus,Leviticus,Numbers,Deuteronomy,3,7
Which king consulted the medium at En-dor?,Saul,David,Solomon,Ahab,1,6
Which prophet rebuked Ahab for taking Naboth's vineyard?,Elijah,Elisha,Micaiah,Amos,1,6
Who was the mother of Solomon?,Abigail,Bathsheba,Michal,Rizpah,2,5
Which son of David rebelled and was killed after his hair caught in a tree?,Absalom,Adonijah,Amnon,Chileab,1,5
Which book records the phrase 'such a time as this'?,Ruth,Esther,Nehemiah,Daniel,2,5
Which Persian king is named Ahasuerus in Esther?,Xerxes I,Cyrus II,Darius I,Artaxerxes I,1,7
Which New Testament writer says he was a Pharisee from the tribe of Benjamin?,Peter,Paul,James,Jude,2,6
Which city was Paul's destination when he was arrested and appealed to Caesar?,Rome,Athens,Corinth,Ephesus,1,6
Which couple explained the way of God more accurately to Apollos?,Priscilla and Aquila,Ananias and Sapphira,Mary and Martha,Philemon and Apphia,1,6
Which Macedonian woman was Paul's first recorded convert in Europe?,Lydia,Phoebe,Priscilla,Damaris,1,6
Which deacon baptized the Ethiopian eunuch?,Stephen,Philip,Nicanor,Prochorus,2,5
Which Roman centurion received Peter in Acts 10?,Cornelius,Julius,Longinus,Claudius Lysias,1,6
Which council in Acts addressed whether Gentile believers must be circumcised?,Jerusalem Council,Council of Nicaea,Council of Chalcedon,Council of Trent,1,6
Which New Testament book warns against receiving the mark of the beast?,Revelation,Jude,Hebrews,2 Peter,1,5
Which epistle says Jesus is the image of the invisible God?,Colossians,Galatians,1 Timothy,Philemon,1,6
Which epistle contains the hymn-like passage about Christ emptying Himself?,Philippians,Ephesians,Romans,Titus,1,6
Which pastoral epistle says all Scripture is breathed out by God?,1 Timothy,2 Timothy,Titus,Philemon,2,6
Which epistle says Jesus is a priest forever after the order of Melchizedek?,Hebrews,James,1 Peter,Jude,1,6
Which general epistle compares the tongue to a small fire?,James,1 Peter,2 John,Jude,1,5
"Which doctrine teaches that Christ has two natures, divine and human, in one person?",Hypostatic union,Adoptionism,Modalism,Arianism,1,7
Which heresy denied the full deity of the Son and was opposed at Nicaea?,Arianism,Pelagianism,Donatism,Gnosticism,1,6
Which heresy taught that Christ only seemed to have a physical body?,Docetism,Nestorianism,Sabellianism,Donatism,1,7
Which theological framework emphasizes distinct economies or dispensations in God's dealings with humanity?,Dispensationalism,Federal Vision,Molinism,Neo-orthodoxy,1,6
Which confession is a major 17th-century Reformed confession produced by the Westminster Assembly?,Westminster Confession of Faith,Augsburg Confession,Belgic Confession,Scots Confession,1,6
Which early Christian writer is associated with the phrase 'the blood of the martyrs is the seed of the church'?,Tertullian,Origen,Clement of Rome,Ignatius of Antioch,1,8
